Term,29c23697-0a63-493b-9ced-500612046e42,41ee531a-8d45-4067-8c0a-58e50eac58e7,5a739736-7a03-431e-8536-248d5f5eb218,4e4b68e7-e9f8-406a-b477-297d781fa67d,910bab8a-7927-4b42-9b62-b709ea0b7823,cd8531c9-894e-4e9d-bbc9-8471b99c11e3,a57303f3-c5ef-4418-ba3f-fde8e1596e03,8aa78510-515b-489f-9ecb-89e100f370d1,eed2c0ed-ca64-4bf3-b811-2c277b39e82b,33497299-202e-4799-bc63-a3bcf11c4c2a,
215,0,0,1,0,0,0,0,0,0,0,
v78,1,0,0,0,0,0,0,0,0,0,
216,0,0,1,0,0,0,0,0,0,0,
v77,1,0,0,0,0,0,0,0,0,0,
217,0,0,1,0,0,0,0,0,0,0,
v79,1,0,0,0,0,0,0,0,0,0,
jelly,1,0,0,0,0,0,0,1,0,0,
says,1,1,1,1,1,1,1,1,1,1,
timeless,0,1,1,0,0,1,0,0,0,0,
direction,1,1,1,1,0,1,0,0,1,1,
consent29,1,0,0,0,0,0,0,0,0,0,
revenge88,1,0,0,0,0,0,0,0,0,0,
hatching,0,0,0,0,0,0,1,0,0,0,
v81,1,0,0,0,0,0,0,0,0,0,
probe,1,0,0,0,0,0,0,0,0,0,
v80,1,0,0,0,0,0,0,0,0,0,
220,0,0,1,0,0,0,0,0,0,0,
saxo,1,0,0,0,0,0,0,0,0,0,
dolphinlike,0,0,0,0,1,0,0,0,0,0,
merchantability,1,1,1,1,1,1,1,1,1,1,
conceitless,0,0,1,0,0,0,0,0,0,0,
225,0,0,1,0,0,0,0,0,0,0,
stable,0,0,0,1,0,0,0,0,0,0,
servingcreature,0,0,0,0,0,1,0,0,0,0,
grapple,1,0,0,1,0,0,0,0,1,0,
sicily,0,0,0,0,1,0,0,0,0,0,
piteously,0,0,0,0,1,0,0,0,0,0,
tub,0,0,0,0,0,0,0,0,1,0,
caught,1,0,0,0,0,0,1,1,0,1,
exceeds,0,0,1,0,1,0,1,0,0,0,
husband—how,0,0,0,0,0,0,0,0,0,1,
tug,0,0,0,0,1,0,0,0,0,0,
clamour,0,0,0,0,0,0,1,1,0,1,
caius,0,0,0,0,1,0,1,1,0,0,
concert,0,0,1,0,0,0,0,0,0,0,
mildewd,1,0,0,0,0,0,0,0,0,0,
trippingly,1,0,0,0,0,0,0,0,0,0,
tun,0,0,0,1,0,0,0,0,1,0,
230,0,0,1,0,0,0,0,0,0,0,
concern,0,0,1,0,1,0,0,0,0,0,
tut,0,1,1,1,0,1,0,0,1,0,
cato’s,0,0,0,0,0,0,1,0,0,0,
235,0,0,1,0,0,0,0,0,0,0,
refrain,0,0,0,0,0,0,0,0,0,1,
serviteur,0,0,0,0,0,0,0,0,1,0,
penning,0,0,0,0,0,0,0,1,0,0,
state,1,1,1,1,1,1,1,1,1,1,
donnerai,0,0,0,0,0,0,0,0,1,0,
warring,0,0,0,0,0,0,0,1,0,0,
think—tell,0,0,0,0,0,0,0,0,0,1,
pitié,0,0,0,0,0,0,0,0,1,0,
prerogatifes,0,0,0,0,0,0,0,0,1,0,
reputeless,0,0,0,1,0,0,0,0,0,0,
embowel,0,0,0,1,0,0,0,0,0,0,
concealment,1,0,0,0,0,0,1,1,0,0,
probable,1,0,1,0,1,0,1,0,0,1,
opposite,0,1,0,0,1,1,1,1,0,1,
deputation,0,0,0,1,1,0,0,0,0,0,
240,0,0,1,0,0,0,0,0,0,0,
watchful,0,1,1,0,0,0,0,0,1,0,
245,0,0,1,0,0,0,0,0,0,0,
kings130,1,0,0,0,0,0,0,0,0,0,
gravedigger,1,0,0,0,0,0,0,0,0,0,
dolts,0,0,0,0,1,0,0,0,0,0,
were—would,0,0,0,0,0,0,1,0,0,0,
offering,1,0,0,0,0,0,0,0,0,0,
restrained,0,0,0,0,0,0,1,1,0,0,
mildews,0,0,0,0,0,0,0,1,0,0,
thunderlike,0,0,0,0,0,0,1,0,0,0,
promisedst,0,0,0,0,0,0,0,0,1,0,
warrior,0,0,0,1,1,0,1,0,0,1,
probably,1,0,1,0,0,0,0,0,0,0,
petter,0,0,0,0,0,0,0,0,1,0,
manly,0,1,0,0,0,1,0,0,1,0,
battery,1,0,0,0,1,0,1,0,1,0,
longbut,1,0,0,0,0,0,0,0,0,0,
weighed,0,0,0,0,0,0,0,1,0,0,
two,1,1,1,1,1,1,1,1,1,1,
250,0,0,1,0,0,0,0,0,0,0,
moment,1,1,1,0,1,0,0,1,1,1,
movables,0,1,0,0,0,0,0,0,1,0,
teat,0,0,0,0,0,1,0,0,0,0,
255,0,0,1,0,0,0,0,0,0,0,
tear,1,1,1,1,1,1,1,1,1,1,
mettle,0,1,0,1,1,0,0,1,1,1,
desired,0,0,0,0,1,0,0,1,0,0,
calmly,1,0,0,0,0,0,1,0,0,0,
humour,0,1,0,1,0,1,0,0,1,1,
attach,1,0,0,0,0,1,1,0,0,1,
inclination,1,1,0,1,1,0,1,0,0,0,
stench,0,0,0,0,0,0,0,1,0,0,
participate,0,0,0,0,0,0,1,0,0,0,
clamb’ring,0,0,0,0,0,0,1,0,0,0,
endur’d,0,0,0,0,0,1,0,1,0,0,
desires,1,1,1,1,1,0,1,0,1,1,
forbidden,1,0,0,0,0,0,0,0,0,0,
lottery,0,0,0,0,1,0,0,0,0,0,
team,1,1,1,1,1,1,1,1,1,1,
services,0,0,0,1,1,0,1,1,1,1,
260,0,0,1,0,0,0,0,0,0,0,
261,0,0,1,0,0,0,0,0,0,0,
forfeited,0,0,0,1,0,0,0,0,0,0,
263,0,0,1,0,0,0,0,0,0,0,
franker,0,0,0,0,0,0,0,0,0,1,
265,0,0,1,0,0,0,0,0,0,0,
filling,0,0,0,0,0,0,1,0,0,0,
hooting,0,0,0,0,0,0,1,0,0,0,
watch,1,1,1,1,1,1,1,1,1,1,
speech,1,0,1,1,1,1,1,1,1,1,
forswore,0,1,0,0,0,0,0,0,0,0,
envying,0,0,0,0,0,0,1,0,0,0,
purple,0,1,0,1,1,1,0,0,0,0,
majestically,0,0,0,1,0,0,0,0,0,0,
weakness—thine,0,0,0,0,0,0,1,0,0,0,
find’st,0,0,0,0,0,0,0,1,0,0,
forsworn,0,0,1,1,0,1,1,0,1,0,
franked,0,1,0,0,0,0,0,0,0,0,
sweetmeats,0,0,0,0,0,1,0,0,0,0,
paunch,0,0,0,1,0,0,0,0,0,0,
tedious,1,1,1,1,0,1,0,0,0,1,
anne,0,1,0,0,0,0,0,0,0,0,
unwrung,1,0,0,0,0,0,0,0,0,0,
270,0,0,1,0,0,0,0,0,0,0,
271,0,0,1,0,0,0,0,0,0,0,
274,0,0,1,0,0,0,0,0,0,0,
275,0,0,1,0,0,0,0,0,0,0,
276,0,0,1,0,0,0,0,0,0,0,
unshout,0,0,0,0,0,0,1,0,0,0,
278,0,0,1,0,0,0,0,0,0,0,
dying,1,1,0,1,1,0,1,0,1,1,
roughness,0,0,0,0,0,0,0,1,0,0,
blows,1,0,0,1,1,1,1,1,1,0,
slovenly,0,0,0,1,0,0,0,0,0,0,
donation,1,1,1,1,1,1,1,1,1,1,
secure109,1,0,0,0,0,0,0,0,0,0,
taddle,0,0,0,0,0,0,0,0,1,0,
crispianus,0,0,0,0,0,0,0,0,1,0,
undertook,0,0,0,0,0,0,0,0,0,1,
eastern,1,0,0,0,1,1,0,0,0,0,
reflection,1,0,0,0,0,0,0,0,0,0,
gulls,0,1,0,0,0,0,0,0,0,0,
280,0,0,1,0,0,0,0,0,0,0,
dwarfish,0,0,0,0,1,0,0,0,0,0,
285,0,0,1,0,0,0,0,0,0,0,
mallecho,1,0,0,0,0,0,0,0,0,0,
us’d,0,0,0,0,0,0,0,1,1,1,
suited,1,0,0,0,0,0,0,1,0,0,
quick73,1,0,0,0,0,0,0,0,0,0,
ignorance—which,0,0,0,0,0,0,1,0,0,0,
rashness,0,1,1,0,1,0,0,1,1,0,
agrowing,0,1,0,0,0,0,0,0,0,0,
subcontracted,0,0,0,0,0,0,0,1,0,0,
furies,0,1,0,0,0,0,0,0,1,0,
tongue—the,0,0,0,0,1,0,0,0,0,0,
blister,1,0,0,0,0,0,0,0,0,0,
concept,1,1,1,1,1,1,1,1,1,1,
290,0,0,1,0,0,0,0,0,0,0,
banish,0,0,1,1,0,0,1,0,0,1,
293,0,0,1,0,0,0,0,0,0,0,
house,1,1,1,1,1,1,1,1,1,1,
294,0,0,1,0,0,0,0,0,0,0,
295,0,0,1,0,0,0,0,0,0,0,
leçon,0,0,0,0,0,0,0,0,1,0,
illsheathed,0,0,0,1,0,0,0,0,0,0,
stark,0,0,0,1,0,1,0,0,0,0,
harrys,0,0,0,1,0,0,0,0,0,0,
bellow,1,0,0,0,0,0,0,0,0,0,
stare,0,0,0,0,0,0,0,1,0,1,
intermingle,0,0,0,0,0,0,0,0,0,1,
replying,0,1,0,0,0,0,0,0,0,0,
lion’s,0,0,0,0,1,0,0,0,1,0,
courtiers’,0,0,0,0,0,1,0,0,0,0,
anon,1,1,1,1,0,1,1,1,1,1,
7274,0,0,1,0,0,0,0,0,0,0,
hours,1,1,1,1,1,1,1,1,1,1,
unjust,0,0,1,1,0,0,1,0,0,0,
opposing,1,0,0,0,0,0,1,0,0,0,
boyes,0,0,1,0,0,0,0,0,0,0,
goaded,0,0,0,0,0,0,1,0,0,0,
start,1,1,1,1,1,1,1,1,1,1,
stars,1,1,1,1,1,1,1,1,1,1,
footnote,1,0,0,0,0,0,0,0,0,0,
teen,0,1,0,0,0,1,0,0,0,0,
stumbled,0,1,0,0,0,1,0,1,0,0,
t’assume,0,0,0,0,0,0,0,1,0,0,
restorative,0,0,0,0,0,1,0,0,0,0,
teem,0,0,0,0,0,0,0,1,0,1,
fallen,1,0,0,0,1,1,1,1,1,1,
conveniences,0,0,0,0,0,0,0,0,0,1,
anglais,0,0,0,0,0,0,0,0,1,0,
tenders,1,0,0,0,0,0,0,0,0,0,
dishonour,0,0,0,1,1,0,1,0,1,0,
tenderd,0,0,1,0,0,0,0,0,0,0,
tinct128,1,0,0,0,0,0,0,0,0,0,
commonwealth,0,0,0,1,0,0,1,0,1,0,
unfeignedly,0,1,0,0,0,0,0,0,0,0,
bluntness,0,0,0,0,0,0,0,1,0,0,
wassails,0,0,0,0,1,0,0,0,0,0,
keels,0,0,0,0,1,0,0,0,0,0,
truths,0,0,0,0,1,0,0,0,0,0,
unholy,0,0,1,0,0,0,1,0,0,0,
required,1,1,1,1,1,1,1,1,1,1,
climb,0,0,1,0,0,1,0,1,0,1,
measures,0,1,0,0,1,0,0,0,0,1,
teutonic,1,0,0,0,0,0,0,0,0,0,
sound’—,0,0,0,0,0,1,0,0,0,0,
golden,1,1,1,1,1,1,0,1,1,0,
vesture,0,0,1,0,0,0,1,0,0,1,
clime,0,0,0,0,0,0,0,0,1,1,
restoration,0,0,0,0,0,0,0,1,0,0,
groaning,0,0,0,0,0,1,0,0,0,0,
warmth,0,0,0,0,1,1,0,1,0,0,
sutton,0,0,0,1,0,0,0,0,0,0,
destroy,1,1,1,1,1,1,1,1,1,1,
priority,0,0,0,0,0,0,1,0,0,0,
th’unfitness—,0,0,0,0,0,0,0,1,0,0,
lawyers’,0,0,0,0,0,1,0,0,0,0,
embay’d,0,0,0,0,0,0,0,0,0,1,
martius’,0,0,0,0,0,0,1,0,0,0,
blots,0,1,0,0,0,0,0,0,0,0,
passioning,0,0,1,0,0,0,0,0,0,0,
martius”,0,0,0,0,0,0,1,0,0,0,
reckoned,0,0,0,0,1,0,0,0,0,0,
circling,0,1,0,0,0,0,0,0,0,0,
requires,0,1,0,0,1,0,1,1,0,1,
sold”,0,1,0,0,0,0,0,0,0,0,
competency,0,0,0,0,0,0,1,0,0,0,
ulysses’,0,0,0,0,0,0,1,0,0,0,
wife’s,0,1,0,0,0,0,1,0,0,1,
sword—,0,0,0,0,1,0,0,0,0,0,
consume,0,0,0,0,0,1,1,0,0,0,
unknown,1,1,1,0,1,1,1,1,1,1,
billows,0,1,0,0,0,0,0,0,1,0,
counterpoised,0,0,0,0,0,0,1,0,0,0,
masham,0,0,0,0,0,0,0,0,1,0,
consult,0,1,0,0,0,0,0,0,0,0,
unadvised,0,0,1,0,0,0,0,0,0,0,
mildly,0,0,0,0,0,0,1,0,0,0,
manners,1,1,1,1,0,1,0,1,1,1,
consuls,0,0,0,0,1,0,1,0,0,1,
motionless,0,0,0,0,0,0,0,0,1,0,
survive,1,1,1,1,1,1,1,1,1,1,
mandragora,0,0,0,0,1,0,0,0,0,1,
devesting,0,0,0,0,0,0,0,0,0,1,
hales,0,0,0,0,1,0,0,0,0,1,
hound,0,0,0,0,0,0,1,1,1,1,
gulfs,0,0,0,0,0,0,0,0,0,1,
blown,0,0,0,1,1,0,1,1,1,1,
gainst,1,0,1,1,0,0,0,0,0,0,
adversary,0,0,0,0,0,1,0,1,0,0,
want’st,0,0,0,0,0,0,0,1,0,0,
suitor,0,1,1,0,0,0,0,0,0,1,
cains,1,0,0,0,0,0,0,0,0,0,
grafted,0,0,0,1,0,0,1,0,0,0,
idleness,0,0,1,1,1,0,0,0,1,1,
parentage,0,0,0,0,0,1,0,0,0,0,
clink,0,0,0,0,0,0,0,0,0,1,
grandpré,0,0,0,0,0,0,0,0,1,0,
think’st,0,1,0,0,1,0,1,1,1,1,
general’s,0,0,0,0,1,0,1,0,1,1,
satire,1,0,0,0,0,0,0,0,0,0,
cop’st,0,0,0,0,0,1,0,0,0,0,
mountain’s,0,0,0,0,0,0,0,0,1,0,
childchanged,0,0,0,0,0,0,0,1,0,0,
welladay,0,0,0,0,0,1,0,0,0,0,
speedy,1,1,0,1,0,1,1,1,0,0,
outlaw,0,0,0,1,0,0,0,0,0,0,
afterlove,0,0,1,0,0,0,0,0,0,0,
friendly,0,1,1,0,1,1,1,1,1,1,
5961887,1,1,1,1,1,1,1,1,1,1,
sixteenth,1,0,0,0,0,0,0,0,0,0,
tell,1,1,1,1,1,1,1,1,1,1,
basilisks,0,1,0,1,0,0,0,0,1,0,
purgation,1,0,0,0,0,0,0,0,0,0,
moor”,0,0,0,0,0,0,0,0,0,1,
shores,1,1,0,0,0,0,0,0,1,0,
flames,1,0,0,0,0,0,0,1,1,0,
daughters,0,1,1,0,0,1,1,1,1,0,
pass’d,0,0,0,0,0,1,0,0,1,1,
once—taught,0,0,0,0,0,0,0,1,0,0,
titan’s,0,0,0,0,0,1,0,0,0,0,
celebrated,1,0,0,0,0,0,0,0,0,0,
interludes,1,0,0,0,0,0,0,0,0,0,
intrince,0,0,0,0,0,0,0,1,0,0,
speeds,0,1,0,0,1,0,0,0,0,0,
worst’,0,0,0,0,0,0,0,1,0,0,
keeps,1,1,0,1,1,1,0,1,1,1,
accustomed,1,1,0,0,0,0,0,0,0,0,
trumpets,1,1,0,1,1,0,1,1,1,1,
raising,1,0,0,1,0,0,1,0,0,0,
womanhood,0,0,0,1,0,0,0,0,0,0,
stayd,1,0,1,0,0,0,0,0,0,0,
foaming,0,0,0,0,0,0,0,0,1,1,
drinking,1,0,0,1,1,0,0,0,0,1,
sworder,0,0,0,0,1,0,0,0,0,0,
harrow,1,0,0,0,0,0,1,0,0,0,
ield,1,0,0,0,0,0,0,0,0,0,
created,1,1,1,1,1,1,1,1,1,1,
island,0,0,0,0,0,0,0,0,1,1,
unrespective,0,1,0,0,0,0,0,0,0,0,
format,1,1,1,1,1,1,1,1,1,1,
clover,0,0,0,0,0,0,0,0,1,0,
cloven,0,0,0,0,0,0,1,0,0,0,
water,1,1,1,1,1,1,1,1,1,1,
temple—dear,0,0,0,0,0,0,1,0,0,0,
savour,0,0,0,0,0,0,0,1,1,0,
stays,1,1,1,1,1,1,0,0,0,0,
formal,1,1,0,0,1,0,0,0,0,0,
scattering,1,0,0,0,0,0,0,0,0,1,
flamed,1,0,0,0,0,0,0,0,0,0,
apples,0,0,0,0,0,0,0,0,1,0,
entertain,1,1,1,1,1,0,0,1,1,0,
tens,0,0,0,0,0,0,0,1,0,0,
tent,1,1,0,1,1,0,1,1,1,0,
saker,1,0,0,0,0,0,0,0,0,0,
elsewhere,0,0,1,1,0,0,1,0,0,0,
carbuncled,0,0,0,0,1,0,0,0,0,0,
comedian,1,0,0,0,0,0,0,0,0,0,
tend,1,1,0,0,1,0,1,1,0,0,
exceedingly,1,0,0,1,0,0,0,0,0,1,
rapier’s,0,0,0,0,0,1,0,0,0,0,
sav’d,0,0,0,0,0,0,0,1,0,1,
sixteen,1,0,1,1,0,0,1,0,1,0,
abutting,0,0,0,0,0,0,0,0,1,0,
plumpy,0,0,0,0,1,0,0,0,0,0,
friar,0,1,1,0,0,1,0,0,0,0,
dæmon—that,0,0,0,0,1,0,0,0,0,0,
subscribe,1,1,1,1,1,1,1,1,1,1,
built,1,1,1,0,1,0,1,0,1,0,
question56,1,0,0,0,0,0,0,0,0,0,
lucifer,0,0,0,1,0,0,0,0,0,0,
burdened,0,1,0,0,0,0,0,0,0,0,
paltry,0,1,0,0,1,0,0,0,0,0,
lectures,0,0,0,0,0,0,1,0,0,0,
chatillon,0,0,0,0,0,0,0,0,1,0,
entertained,0,0,1,0,1,0,0,1,0,0,
fellowship,1,0,0,1,1,1,1,1,1,1,
priests,1,0,0,0,1,0,1,1,1,0,
element’s,0,0,0,0,0,0,0,1,0,0,
chamberlain,1,1,0,1,0,0,0,0,0,0,
successively,0,1,0,0,0,0,0,0,0,0,
build,1,1,0,0,0,0,0,1,0,1,
herod47,1,0,0,0,0,0,0,0,0,0,
sister’s,0,0,0,0,1,0,0,1,0,0,
tyrannously,1,0,0,0,0,0,0,0,0,0,
corse,1,1,0,1,0,1,1,0,0,0,
matrons,1,0,0,0,0,0,1,0,0,0,
engraven,1,0,0,0,0,0,0,0,0,0,
“this,0,1,0,0,0,0,1,0,1,1,
credulous,0,0,0,0,0,0,0,1,0,1,
engraved,0,0,1,0,0,0,0,0,0,0,
finds,1,1,1,1,0,1,1,1,0,0,
wasps,0,0,1,0,0,0,0,0,0,0,
abusing,0,1,0,0,0,0,0,0,0,0,
wellknown,1,0,0,0,0,0,0,0,0,0,
apparition,1,0,0,0,0,0,0,0,0,0,
negligence19,1,0,0,0,0,0,0,0,0,0,
banks,0,1,0,1,0,0,0,0,0,0,
scouring,0,0,0,0,0,0,0,0,1,0,
grate,0,0,0,1,0,0,0,0,0,0,
ashes,0,1,0,0,1,1,0,0,1,0,
scaring,0,0,0,0,0,1,0,0,0,0,
fawns,0,1,0,0,0,0,0,0,0,0,
ass’s,0,0,0,0,0,0,1,0,0,0,
meddle,0,1,0,0,0,1,1,0,0,0,
beginnings,0,0,0,0,0,0,0,0,1,0,
jester,1,0,0,0,0,0,0,0,0,0,
light49,1,0,0,0,0,0,0,0,0,0,
flakes,0,0,0,0,0,0,0,1,0,0,
finer,0,0,0,0,0,0,0,0,1,0,
juvenal,1,0,0,0,0,0,0,0,0,0,
fines,0,0,0,0,0,0,1,0,0,0,
mentions,0,0,1,0,0,0,0,0,0,0,
epicurean,0,0,0,0,1,0,0,0,0,0,
calldunhand,1,0,0,0,0,0,0,0,0,0,
drivelling,0,0,0,0,0,1,0,0,0,0,
milder,0,0,1,0,0,0,1,0,0,0,
némean,1,0,0,0,0,0,0,0,0,0,
infidels,0,1,0,0,0,0,0,0,0,0,
us107,1,0,0,0,0,0,0,0,0,0,
mordake,0,0,0,1,0,0,0,0,0,0,
wolvish,0,0,0,0,0,0,1,1,0,0,
importeth,0,0,0,0,1,0,0,0,0,0,
denis,0,0,0,0,0,0,0,0,1,0,
feats,0,0,0,0,1,0,1,0,1,1,
transparent,0,0,0,0,0,1,0,0,0,0,
beseech’d,0,0,0,0,0,0,0,0,1,0,
bran,0,0,0,0,0,0,1,0,0,0,
composition,0,0,0,0,1,0,1,1,0,1,
weighty,0,1,0,0,0,0,0,0,0,0,
grass,1,0,1,0,0,0,0,0,1,0,
brag,0,0,1,0,0,0,1,1,1,0,
wednesday,0,0,0,1,0,1,1,0,0,1,
term,1,0,0,1,0,1,1,0,1,1,
voudrais,0,0,0,0,0,0,0,0,1,0,
latch,1,0,0,0,0,0,0,0,0,0,
outshining,0,1,0,0,0,0,0,0,0,0,
conjur’d,0,0,0,0,0,1,0,0,0,1,
1e1,1,1,1,1,1,1,1,1,1,1,
1e2,1,1,1,1,1,1,1,1,1,1,
1e3,1,1,1,1,1,1,1,1,1,1,
1e4,1,1,1,1,1,1,1,1,1,1,
accords,0,0,1,0,0,0,0,0,0,0,
1e5,1,1,1,1,1,1,1,1,1,1,
lated,0,0,0,0,1,0,0,0,0,0,
1e6,1,1,1,1,1,1,1,1,1,1,
1e7,1,1,1,1,1,1,1,1,1,1,
ambassadors,0,0,0,0,1,0,0,0,1,0,
1e8,1,1,1,1,1,1,1,1,1,1,
1e9,1,1,1,1,1,1,1,1,1,1,
oxen,0,0,0,1,0,0,0,0,0,0,
forbear,0,1,1,0,1,1,0,1,0,1,
misguide,0,0,0,0,0,0,1,0,0,0,
transported,0,0,0,0,0,0,1,0,1,1,
staff,1,1,1,1,1,1,1,1,1,1,
right,1,1,1,1,1,1,1,1,1,1,
possible,1,1,1,1,0,0,1,0,1,1,
stealing,1,1,0,0,0,0,0,1,0,0,
postern,0,0,1,0,0,0,0,0,0,0,
misapplied,0,0,0,0,0,1,0,0,0,0,
edmund,0,0,0,1,0,0,0,1,0,0,
stage,1,0,1,0,1,1,1,1,1,0,
returning,1,0,0,0,0,0,1,0,0,1,
repeals,0,0,0,0,0,0,0,1,0,1,
ruminate,0,0,1,0,0,0,0,0,1,1,
1f1,1,1,1,1,1,1,1,1,1,1,
under,1,1,1,1,1,1,1,1,1,1,
1f2,1,1,1,1,1,1,1,1,1,1,
1f3,1,1,1,1,1,1,1,1,1,1,
1f4,1,1,1,1,1,1,1,1,1,1,
1f5,1,1,1,1,1,1,1,1,1,1,
colourd,0,0,1,0,0,0,0,0,0,0,
1f6,1,1,1,1,1,1,1,1,1,1,
man—took,0,0,0,0,0,1,0,0,0,0,
murray,0,0,0,1,0,0,0,0,0,0,
conceald,1,0,0,0,0,0,0,0,0,0,
believing,0,0,1,0,0,0,0,0,0,0,
divisions,1,0,0,0,1,0,0,1,0,0,
fears,0,1,1,1,1,1,1,1,1,1,
impudent,0,0,0,1,0,0,0,0,0,1,
hewgh,0,0,0,0,0,0,0,1,0,0,
later,0,0,1,0,0,0,0,0,0,0,
vraiment,0,0,0,0,0,0,0,0,1,0,
crowkeeper,0,0,0,0,0,1,0,1,0,0,
passport,0,0,0,0,0,0,0,0,1,0,
considerate,0,1,0,0,1,0,0,0,0,0,
margaret,0,1,0,0,0,0,0,0,0,0,
midst,0,1,0,0,1,0,1,0,0,0,
leviathan,0,0,0,0,0,0,0,0,1,0,
nownay,0,0,1,0,0,0,0,0,0,0,
highway,0,0,0,1,0,1,1,0,0,0,
paraquito,0,0,0,1,0,0,0,0,0,0,
possibly,0,0,1,0,0,0,0,0,0,0,
parcel,0,0,0,1,1,0,1,0,0,0,
gibbets,0,0,0,1,0,0,0,0,0,0,
test,1,0,0,0,0,0,0,0,0,1,
puzzles,1,0,0,0,0,0,0,0,0,0,
quests,0,0,0,0,0,0,0,0,0,1,
bray,1,0,0,0,0,0,0,0,0,0,
learns,0,0,0,0,0,1,0,0,0,0,
learnd,0,0,1,1,0,0,0,0,0,0,
enforcement,0,1,0,0,0,0,0,0,0,0,
valanced,1,0,0,0,0,0,0,0,0,0,
“tomorrow,0,0,0,0,0,0,0,0,1,0,
grape,0,0,0,0,1,0,0,0,0,0,
bras,0,0,0,0,0,0,0,0,1,0,
brat,0,1,0,0,0,0,0,0,0,0,
chrysolite,0,0,0,0,0,0,0,0,0,1,
feast,1,0,1,1,1,1,1,0,1,0,
xxxxx10xxxx,0,0,0,1,0,0,0,0,0,0,
embraced,0,0,0,0,1,0,1,0,0,0,
learnt,0,0,0,1,0,1,0,0,0,0,
final,1,0,1,0,0,0,0,0,0,0,
paradise,0,0,0,0,0,1,0,0,1,0,
skainsmates—and,0,0,0,0,0,1,0,0,0,0,
visages,0,0,0,0,0,0,0,0,0,1,
whispering,0,0,0,0,0,1,0,0,0,0,
so117,1,0,0,0,0,0,0,0,0,0,
forked,0,0,0,0,1,0,0,1,0,1,
freezes,0,1,0,0,0,1,0,0,0,0,
colours,0,1,0,1,0,0,1,1,1,0,
occasion,1,1,0,1,1,1,1,0,1,1,
bred,1,1,0,1,1,1,1,1,1,0,
sir—prepare,0,0,0,0,0,0,0,1,0,0,
loan,1,1,0,0,0,0,0,0,0,0,
guardsman,0,0,0,0,1,0,0,0,0,0,
o’erleap,0,0,0,0,0,0,1,0,0,0,
arraign,0,0,0,0,0,0,0,1,0,0,
swaying,0,0,0,0,0,0,0,0,1,0,
expectation,0,0,0,1,1,0,0,1,1,1,
disguising,0,0,1,0,0,0,0,0,0,0,
load,0,1,0,0,0,0,1,0,1,0,
soldierbreeder,0,0,0,0,0,0,0,0,1,0,
dimmed,0,1,0,0,0,0,0,0,0,0,
applaud,1,0,1,1,0,0,0,0,0,0,
blinded,0,0,1,0,0,0,0,0,0,0,
loam,1,0,0,0,0,0,0,0,0,0,
feasted,0,0,0,0,1,0,0,0,0,0,
upon’t—,0,0,0,0,0,0,1,0,0,0,
interess’d,0,0,0,0,0,0,0,1,0,0,
chaces,0,0,0,0,0,0,0,0,1,0,
lustdieted,0,0,0,0,0,0,0,1,0,0,
clarence’s,0,1,0,0,0,0,0,0,0,0,
priest,1,1,0,0,0,0,0,0,0,0,
grand,1,1,0,0,1,0,0,0,1,0,
une,0,0,0,0,0,0,0,0,1,0,
volscians,0,0,0,0,0,0,1,0,0,0,
overwhelming,0,0,0,0,0,1,0,0,0,0,
feard,0,0,1,1,0,0,0,0,0,0,
speak—this,0,0,0,0,0,0,1,0,0,0,
blossoms,1,0,0,0,0,0,0,0,0,0,
stabs,1,1,0,1,0,1,0,1,0,1,
conceals,0,0,0,0,0,0,0,1,0,0,
grant,1,1,1,1,1,1,1,1,1,1,
impawnd,0,0,0,1,0,0,0,0,0,0,
overboard,0,1,0,0,0,0,0,0,0,0,
newsletter,1,1,1,1,1,1,1,1,1,1,
qualified,0,0,0,0,0,0,0,1,0,1,
tempering,0,0,0,0,0,1,0,0,0,0,
sealring,0,0,0,1,0,0,0,0,0,0,
invincible,0,0,0,0,0,0,1,0,0,0,
disposé,0,0,0,0,0,0,0,0,1,0,
oerreaches,1,0,0,0,0,0,0,0,0,0,
reared,0,0,0,0,1,0,0,0,0,0,
sinabsolver,0,0,0,0,0,1,0,0,0,0,
corrivals,0,0,0,1,0,0,0,0,0,0,
verity,1,0,0,0,0,0,1,1,0,0,
archdeacon,0,0,0,1,0,0,0,0,0,0,
stale,1,0,0,1,1,1,0,1,0,0,
stalk,1,1,0,0,0,0,0,0,0,0,
undeserving,0,0,1,0,0,0,0,0,0,0,
lock,1,0,0,0,1,0,0,0,0,1,
lofty21,1,0,0,0,0,0,0,0,0,0,
pitch,0,1,0,1,0,1,0,0,0,1,
divideth,0,0,0,0,0,1,0,0,0,0,
text,0,0,1,1,0,1,0,1,0,0,
latin,1,0,0,0,0,0,0,0,1,0,
isabel,0,0,0,0,0,0,0,0,1,0,
glittering,0,0,0,1,0,0,0,0,0,0,
dissemblers,0,0,0,0,0,1,0,0,0,0,
stall,0,0,0,1,1,0,0,0,0,0,
brew,0,0,1,0,0,0,0,0,0,0,
menace,0,1,0,0,0,1,0,0,0,0,
benison,0,0,0,0,0,0,0,1,0,0,
birthplace,0,0,0,0,0,0,1,0,0,0,
warned,0,1,0,0,0,0,0,0,0,0,
miscreate,0,0,0,0,0,0,0,0,1,0,
shrewdness,0,0,0,0,1,0,0,0,0,0,
bowls,0,0,0,0,1,0,0,0,0,0,
stamp,0,1,0,1,0,0,1,1,0,1,
ripest,0,0,0,0,0,0,1,0,0,0,
